docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015022379567	Hammock, Claude Stuart	1876-	1930.0	1930.0	s	1930	    	1930			PZ3.H1886Wh	18286482.0	245621	1	1.0	1.0			Why murder the judge? | $c: By Claude Stuart Hammock.		True	Why murder the judge?
mdp.39015063934718	Martin, Helen Reimensnyder	1868-1939.	1930.0	1930.0	s	1930	    	1930			PZ3.M3636Te	1840386.0	245626	1	1.0	1.0			Tender talons, | a novel | $c: by Helen R. Martin.		True	Tender talons, a novel
mdp.39015063934692	Martin, Helen Reimensnyder	1868-1939.	1930.0	1930.0	s	1930	    	1930			PZ3.M3636Yo	5923787.0	245635	1	1.0	1.0			Yoked with a lamb and other stories, | $c: by Helen R. Martin.		True	Yoked with a lamb and other stories
mdp.39015065447487	Martin, Stuart	b. 1882.	1930.0	1930.0	s	1930	    	1930			PZ3.M365Tr	1740029.0	245640	1	1.0	1.0			The trial of Scotland yard, | $c: by Stuart Martin.		True	The trial of Scotland yard
mdp.39015063934544	Macdonell, Archibald Gordon	1895-1941.	1930.0	1930.0	s	1930	    	1930			PZ3.M146Si 2	9837624.0	246221	1	1.0	1.0			The silent murders, | $c: by Neil Gordon [pseud.]		True	The silent murders
uc1.$b57001	Macfarlane, C. W. (Charles William)	1852-1931.	1930.0	1930.0	s	1930	    	1930			PZ3.M1642Hu	3947675.0	246227	2	2.0	2.0			Hugh Campbell, | $c: by C. W. Macfarlane.		True	Hugh Campbell
mdp.39015063938107	MacGrath, Harold	1871-1932.	1930.0	1930.0	s	1930	    	1930			PZ3.M178BL	2971522.0	246237	1	1.0	1.0			The blue rajah murder ...		True	The blue rajah murder
mdp.39015063921269	Oman, Carola	1897-1978.	1930.0	1930.0	s	1930	    	1930		1806-1861|1812-1889|Browning, Robert|Browning, Elizabeth Barrett	PZ3.L5458Mis2	1263234.0	246447	1	1.0	1.0			Miss Barrett's elopement, | $c: by C. Lenanton (Carola Oman)		True	Miss Barrett's elopement
mdp.39015035804684	Payne, Elisabeth Stancy		1930.0	1930.0	s	1930	    	1930			PZ3.P2921Eas	33112813.0	246886	1	1.0	1.0			Easy street, | $c: by Elizabeth Stancy Payne.		True	Easy street
mdp.39015063947330	Patterson, Innis		1930.0	1930.0	s	1930	    	1930			PZ3.P2762Ep	6077508.0	247525	1	1.0	1.0			The Eppworth case, | $c: by Innis Patterson.		True	The Eppworth case
mdp.39015063977550	Peel, Doris	1909-	1930.0	1930.0	s	1930	    	1930			PZ3.P3464Fi	7571423.0	248349	1	1.0	1.0			Five on parade, | $c: by Doris Peel.		True	Five on parade
mdp.39015063977600	Pedler, Margaret (Bass) Mrs		1930.0	1930.0	s	1930	    	1930			PZ3.P339Fi	1377524.0	248378	1	1.0	1.0			Fire of youth, | $c: by Margaret Pedler.		True	Fire of youth
mdp.39015063978962	Paynter, John Henry		1930.0	1930.0	s	1930	    	1930		Slavery|United States	PZ3.P2938Fu	4646612.0	248779	1	1.0	1.0			Fugitives of the Pearl, | $c: by John H. Paynter.		True	Fugitives of the Pearl
mdp.39015023179339	Lincoln, Joseph Crosby	1870-1944.	1930.0	1930.0	s	1930	    	1930			PZ3.L6385Bo	317418.0	280256	1	1.0	1.0			Blowing clear, | $c: by Joseph C. Lincoln.		True	Blowing clear
mdp.39015063923984	Lincoln, Natalie Sumner	1881-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.L6387Mar	9807298.0	280331	1	1.0	1.0			"Marked ""cancelled"", | $c: by Natalie Sumner Lincoln."		True	"Marked ""cancelled"""
mdp.39015063510492	Boissard, Violet		1930.0	1930.0	s	1930	    	1930			PZ3.B63576Lan	66267412.0	280361	1	1.0	1.0			The land of afternoon, | $c: by Violet Boissard.		True	The land of afternoon
mdp.39015063938735	Livingston, Walter	1895-	1930.0	1930.0	s	1930	    	1930			PZ3.L7627My	5138131.0	280490	1	1.0	1.0			The mystery of Burnleigh manor, | $c: by Walter Livingston.		True	The mystery of Burnleigh manor
mdp.39015005672269	Bowen, Stirling		1930.0	1930.0	s	1930	    	1930	Pamphlets	Criminals|New York, United States|Inglis, Agnes|1870-1952|Anarchism|E. P. Dutton|Crime	PZ3.B6749Wi	4646729.0	280756	1	2.0	2.0			Wishbone, | $c: by Stirling Bowen.		True	Wishbone
uc1.$b322836	Blaker, Richard	1893-1940.	1930.0	1930.0	s	1930	    	1930		World War, 1914-1918	PZ3.B587Me2	2167914.0	281222	2	2.0	2.0			Medal without bar, | $c: by Richard Blaker.		True	Medal without bar
mdp.39015063915485	Bartley, Nalbro Isadorah, Mrs	1888-	1930.0	1930.0	s	1930	    	1930			PZ3.B2865Im	7338807.0	282237	1	1.0	1.0			The immediate family, | $c: by Nalbro Bartley.		True	The immediate family
mdp.39015018393382	Ford, Leslie	1898-1983.	1930.0	1930.0	s	1930	    	1930			PZ3.B81994Ham 2	8193758.0	282478	1	1.0	1.0			The Hammersmith murders ...		True	The Hammersmith murders
